id,product_name,category
1,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",Amazon Devices & Accessories
2,"Fire TV Stick 4K Max streaming device, Wi-Fi 6, Alexa Voice Remote (includes TV controls)",Amazon Devices & Accessories
3,"Blink Mini – Compact indoor plug-in smart security camera, 1080 HD video, motion detection, Works with Alexa",Amazon Devices & Accessories
4,Introducing Blink Video Doorbell - P,Amazon Devices & Accessories
5,"All-new Ring Video Doorbell (2nd Gen) – 1080p HD video, improved motion detection, easy installation",Amazon Devices & Accessories
6,"Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Charcoal",Amazon Devices & Accessories
7,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",Amazon Devices & Accessories
8,"Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",Amazon Devices & Accessories
9,Amazon Smart Plug,Amazon Devices & Accessories
10,All-new Echo Dot (4th Gen) | Smart speaker with clock and Alexa,Amazon Devices & Accessories
11,"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",Amazon Devices & Accessories
12,"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light",Amazon Devices & Accessories
13,"All-new Ring Stick Up Cam HD security camera with two-way talk, Works with Alexa",Amazon Devices & Accessories
14,"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",Amazon Devices & Accessories
15,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 2 camera kit",Amazon Devices & Accessories
16,Ring Solar Panel for Spotlight Cam Battery,Amazon Devices & Accessories
17,Ring Video Doorbell Wired,Amazon Devices & Accessories
18,"Fire TV Stick Lite with Alexa Voice Remote Lite (no TV controls), HD streaming device",Amazon Devices & Accessories
19,Ring Rechargeable Battery Pack,Amazon Devices & Accessories
20,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 3 camera kit",Amazon Devices & Accessories
21,"Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Black",Amazon Devices & Accessories
22,Ring Chime,Amazon Devices & Accessories
23,"Fire TV Cube, Hands-free streaming device with Alexa, 4K Ultra HD, includes latest Alexa Voice Remote",Amazon Devices & Accessories
24,Made for Amazon SanDisk 128GB microSD Memory Card for Fire Tablets and Fire -TV,Amazon Devices & Accessories
25,"Ring Floodlight Cam Wired Plus with motion-activated 1080p HD video, White (2021 release)",Amazon Devices & Accessories
26,Ring Chime Pro,Amazon Devices & Accessories
27,Kindle - Now with a Built-in Front Light - White,Amazon Devices & Accessories
28,Blink Add-On Sync Module 2,Amazon Devices & Accessories
29,"All-new Ring Video Doorbell 3 – 1080p HD video, improved motion detection, and easy installation",Amazon Devices & Accessories
30,"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads",Amazon Devices & Accessories
31,Echo Dot (4th Gen) | Smart speaker with Alexa | Glacier White,Amazon Devices & Accessories
32,Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers),Amazon Devices & Accessories
33,"Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, 32 GB, Blue Kid-Proof Case",Amazon Devices & Accessories
34,"Fire HD 8 tablet, 8"" HD display, 32 GB, latest model (2020 release), designed for portable entertainment, Black",Amazon Devices & Accessories
35,"Ring Stick Up Cam Solar HD security camera with two-way talk, Works with Alexa - White",Amazon Devices & Accessories
36,"NuPro Anti-Glare Screen Protector with Antimicrobial Technology for Amazon Fire HD 10 and Fire HD 10 Plus tablet (11th generation, 2021 release), 2-pack",Amazon Devices & Accessories
37,"Echo Show 8 (2nd Gen, 2021 release) | HD smart display with Alexa and 13 MP camera | Charcoal",Amazon Devices & Accessories
